ms,acc
61675230,0.38681
61675232,-0.22657
61675244,0.73657
61675247,-0.23524
61675262,-0.36227
61675264,-0.73013
61675278,-1.38878
61675281,-0.19677
61675295,-0.38501
61675298,-1.06590
61675312,-0.40137
61675316,-0.63999
61675329,0.40532
61675332,0.16525
61675346,-0.03065
61675349,-0.99295
61675362,-0.41342
61675366,-0.15978
61675380,-0.68885
61675383,-0.89971
61675397,-0.61125
61675400,-0.81341
61675413,-2.47863
61675416,-1.42723
61675430,-1.93755
61675434,-2.10582
61675448,-1.18702
61675450,-1.34404
61675464,-1.90796
61675467,-1.80098
61675480,-2.10425
61675484,-1.52084
61675498,-1.21591
61675502,-1.34717
61675513,-1.40527
61675516,-0.95828
61675531,-0.83499
61675534,-0.98256
61675547,-0.44794
61675551,-0.52858
61675564,-1.21011
61675568,-1.28950
61675580,-1.38725
61675583,-1.12086
61675597,-1.87206
61675600,-1.89753
61675614,-1.59900
61675617,-1.21110
61675631,-1.08349
61675635,-1.37714
61675648,0.31518
61675652,0.30938
61675665,-1.73364
61675668,-0.90147
61675681,-0.37786
61675685,-0.29656
61675698,-0.89842
61675702,-0.89216
61675714,-0.96393
61675717,-0.55621
61675732,-0.07401
61675736,0.15596
61675749,-0.26214
61675751,-0.25605
61675765,-0.49017
61675768,-0.47174
61675782,-0.94533
61675785,-1.12992
61675799,-0.68915
61675801,-0.67026
61675815,-1.68748
61675818,-1.81008
61675832,-1.56781
61675835,0.14363
61675850,0.22857
61675853,0.28081
61675865,-0.17381
61675868,-0.19614
61675882,-1.02808
61675885,-0.68317
61675899,-0.78162
61675902,-0.69879
61675915,-0.98398
61675918,-2.03599
61675933,-0.01356
61675936,-0.06952
61675949,1.14321
61675953,1.23738
61675966,-0.42658
61675969,-0.17801
61675983,-1.98160
61675985,0.25350
61675999,-0.13022
61676002,-0.46888
61676016,0.23084
61676020,0.21077
61676033,-0.94705
61676036,-0.96853
61676050,-0.55347
61676053,-1.44375
61676066,-0.42988
61676068,-0.59728
61676085,-0.58175
61676087,0.03261
61676100,-2.17197
61676103,0.27684
61676117,-1.75730
61676120,-0.44579
61676134,-1.09668
61676138,-0.52816
61676151,-0.54301
61676156,-0.28673
61676167,-1.11436
61676172,-0.96887
61676185,0.04549
61676189,-0.14693
61676201,0.89491
61676205,0.54075
61676217,-0.54932
61676222,-0.21644
61676234,-1.10325
61676238,-1.39626
61676252,0.33525
61676254,0.26520
61676267,-0.13480
61676269,-0.37799
61676284,-0.70513
61676287,-0.58744
61676301,-0.27475
61676305,0.16303
61676317,-0.05239
61676320,-0.51345
61676335,-0.86884
61676338,0.03056
61676352,0.08545
61676354,0.33032
61676368,0.05238
61676371,-0.70370
61676386,-0.88828
61676389,-0.35146
61676402,-1.19841
61676405,-1.13896
61676419,-0.68297
61676422,-0.70270
61676436,-0.07251
61676438,0.03734
61676452,0.36067
61676454,0.47049
61676469,0.41943
61676472,0.71652
61676486,-0.22590
61676488,-0.75005
61676503,-0.11469
61676505,0.02485
61676520,0.44733
61676523,0.47357
61676537,0.02617
61676540,0.17126
61676554,0.20151
61676557,0.42144
61676570,-0.15075
61676573,-0.25835
61676588,-0.13962
61676591,0.06304
61676605,0.18812
61676608,0.30133
61676621,-0.37979
61676624,-0.03451
61676638,0.19719
61676640,0.20414
61676655,0.00000
61676657,0.11948
61676671,0.03288
61676674,-0.02418
61676690,-0.15867
61676693,0.08045
61676706,0.04139
61676709,0.16311
61676723,0.01784
61676726,0.14210
61676739,0.29001
61676742,0.65961
61676757,-0.10847
61676761,0.01800
61676773,-0.02492
61676776,0.10256
61676789,-0.01102
61676793,0.13444
61676806,-0.00098
61676809,0.12348
61676824,0.02280
61676826,0.14610
61676840,-0.02984
61676843,0.13548
61676856,0.01848
61676860,0.14020
61676874,0.00865
61676877,0.12895
61676892,-0.00086
61676895,0.11756
61676907,0.04234
61676910,0.15943
61676924,-0.00576
61676927,0.11050
61676941,0.02321
61676945,0.13849
61676957,0.00866
61676960,0.10345
61676974,0.00854
61676977,0.12102
61676992,0.03258
61676996,0.14330
61677008,-0.00543
61677011,0.10357
61677025,-0.05336
61677027,0.05466
61677042,-0.00573
61677045,0.10134
61677060,-0.04383
61677063,0.06194
61677076,0.03291
61677079,0.13775
61677093,-0.03493
61677096,0.06964
61677110,-0.01970
61677113,0.08455
61677126,-0.03479
61677130,0.06931
61677143,-0.00131
61677146,0.10172
61677160,0.00869
61677163,0.11115
61677178,-0.02011
61677181,0.08128
61677194,0.02301
61677197,0.12336
